踏み代,0,0.69,1.39,2.08,2.78,3.47,4.17,4.86,5.56,6.25,6.94,7.64,8.33,9.03,9.72,10.42,11.11,11.81
1000,0.2,0.1,-0.1,-0.2,-0.3,-0.5,-0.7,-0.78,-0.82,-0.76,-0.7,-0.615844304106507,-0.346142269436156,-0.310210133150857,-0.3,-0.29,-0.279842693560096,-0.25
700,0.289422215972709,0.25226851131658,0.0112029899633449,-0.18,-0.21,-0.4,-0.6,-0.7,-0.45,-0.5,-0.55,-0.4,-0.333,-0.28,-0.27,-0.287535142054516,-0.26,-0.2
650,0.300607558368299,0.334108263430828,0.042728908042632,-0.122071426771109,-0.198320203808953,-0.348308039054636,-0.403396169039768,-0.406558315137247,-0.394,-0.35,-0.328,-0.324858334176623,-0.311383737746556,-0.26,-0.265,-0.26,-0.24,-0.17
600,0.36110162713221,0.354692830215958,0.0452244328230454,-0.0327581054947029,-0.106200503379315,-0.230740167697658,-0.341240875501525,-0.355,-0.376119953573046,-0.32,-0.3,-0.27,-0.25,-0.24,-0.23,-0.0676159629257606,-0.232166317887623,-0.1
550,0.38139994784572,0.375784702605187,0.193793438375663,0.0456681447515462,0.02,0.01,-0.0317160371385401,-0.0295422266833019,-0.026,-0.023,-0.019,-0.0308248436777053,-0.0206,-0.022,0,-0.03,-0.1,0
500,0.429162374797851,0.391800439718881,0.301339966868934,0.225670661248491,0.120856674679236,0.24,0.19,0.15,0.013,0.131481263420984,0.0942525515160723,0.0769636142834802,0.05,0.04,0.03,0.01,0.01,0.009
450,0.46018374157731,0.401438046520904,0.585489852815548,0.378551885632206,0.201832183308253,0.391213501512659,0.293969065768362,0.233972328017389,0.212247619794975,0.176663372703314,0.157340846443525,0.14,0.11,0.075,0.07,0.03,0.03,0.02
400,0.554454262939078,0.46292709257658,0.773483948504255,0.557304981501982,0.379437982216055,0.44119496546352,0.425347998981474,0.276714601556965,0.304622177148971,0.219639518013282,0.215232250950956,0.198151264793759,0.1268156046478,0.085,0.14442378225294,0.06,0.05,0.07
350,0.610745046469676,0.510761309933465,0.842236134792231,0.613520402112242,0.439367449843159,0.597826494970315,0.457908185026154,0.38228606287786,0.332105679354332,0.285164699976278,0.253175287153332,0.222787328066547,0.171224057873301,0.129520252439464,0.16,0.08,0.1,0.09
300,0.629620745683947,0.540825630534114,0.95196884694909,0.776717388259558,0.636802658280864,0.666266315145739,0.727035355654743,0.5141400662938,0.403508299626238,0.37405597878892,0.321570135853615,0.280764329387867,0.239471901898956,0.205837613046604,0.18134411517095,0.17,0.125,0.11
250,0.677939104913764,0.576963668018781,1.01820442920697,1.0494131595049,0.849017297616208,0.84160181131035,0.878596543076291,0.76153614566111,0.596752288945547,0.468060098637466,0.452048464680959,0.340674118065383,0.315693875474028,0.299092301193635,0.217005851105028,0.2,0.13,0.13
200,0.711464159957438,0.584287441435132,1.05952927673915,1.11286036450277,1.04881828322945,0.995563877726385,1.13033385116753,1.18986984562412,0.812308872888131,0.645697295162288,0.578648611445528,0.495281460393628,0.388790349183745,0.390605505287065,0.379177274983587,0.251110751598648,0.277743343807616,0.18
150,0.727006754360903,0.714963771780986,1.08170395417501,1.1247377366275,1.08634344489585,1.00756092892649,1.17384257485743,1.21897236985247,0.850486340481851,0.734571347904961,0.639140646102847,0.58044581828488,0.431852422165752,0.409729198721167,0.433356221866178,0.356443952774228,0.28573318247712,0.2
