gsm8-ps1,0,0.83,1.94,2.78
-6,-0.161,-0.161,-0.187,-0.188
-4,-0.094,-0.094,-0.104,-0.115
-2,-0.027,-0.027,-0.041,-0.045
-0.8,-0.001,-0.001,-0.001,-0.001
0.8,0.001,0.001,0.001,0.001
2,0.02,0.02,0.026,0.027
4,0.086,0.086,0.087,0.089
6,0.149,0.149,0.151,0.153
